dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.04747535644968351,adam,16,static,10,0,0,0,1,1,False,0.6738888888888889,0.63,0.119
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.0463964318152931,adam,16,static,10,0,0,0,1,2,False,0.6818888888888889,0.625,0.224
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.04747535644968351,adam,16,static,10,0,0,0,1,1,False,0.6738888888888889,0.63,0.119
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.0463964318152931,adam,16,static,10,0,0,0,1,2,False,0.6818888888888889,0.625,0.224
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.042265123014648756,adam,16,static,10,0,0,0,1,3,False,0.7275555555555555,0.622,0.817
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.04064855499068896,adam,16,static,10,0,0,0,1,4,False,0.741,0.634,0.972
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.037015059534046386,adam,16,static,10,0,0,0,1,5,False,0.7708888888888888,0.649,0.998
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.03694104686213864,adam,16,static,10,0,0,0,1,6,False,0.7627777777777778,0.641,1.0
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.03579053779111968,adam,16,static,10,0,0,0,1,7,False,0.7733333333333333,0.656,1.0
cifar10,False,False,57,0.1,top-left,1,0.1,0,0.035616741648978656,adam,16,static,10,0,0,0,1,8,False,0.7712222222222223,0.645,1.0
